context,participant,img_id,description,q_reconstructivity,q_relevance,q_irrelevance,q_imgfit,q_overall,q_oremainingqs,q_ogoodparts,q_obadparts,q_ocomments,article_text
Building material,p16,church4,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,2,2,2,1,1,Where are the building materials?,I have nothing to add here.,There was NO building materials mentioned in the description. There was no reason to focus on the graveyard.,Explaining the material makeup of the graveyard and the fence/building would be able to make this image description begin to be a benefit for a screen reader user.,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,p6,church4,The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,5,5,5,5,5,Any other features of the church building to be aware of?,Good overall description of the surroundings.,NA,NA,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,p14,church8,The image shows a relatively small church on the ground.,1,1,5,1,1,What does the church have to do with the article? What is it made of? What type of architecture is it?,Helpful to know it is a church...started the visualization,"Unnecessary, provided not extra value to understanding the article/image",N/A,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Building material,p7,church8,"A building with various types of building material used including stone, brick, and metal.",2,2,5,5,2,NA,NA,Does not describe how materials are used or what kind of building. SOmehow wordy and still irrelevant.,NA,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Christian cross,p12,church8,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,2,2,3,3,3,Are there picture of Jesus next to cross?,The number of cross.,the description is not bad but more detail would be nice.,Not enough description. More detail such as color would be helpful.,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p4,church19,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",3,3,3,2,2,is there an example of a cross in the picture?,nothing,not very relevant,none,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p14,church19,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",4,2,5,1,4,What is the statue of? What cathedral is it?,Simple and concise with multiple references to the surroundings,"Not detailed enough to really feel like you are there, but simple enough where it isn't confusing",A bit more description of the layout or detail would be helpful,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p2,church8,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,2,1,1,4,1,What is a “classic” building? Why is “roof” plural? What does a cross look like? How are the three arranged in relation to one another?,No description would be better than this.,There is wholly inadequate description of anything useful here and extra information I’d label as incorrect or poorly worded at best.,Not helpful at all.,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p7,church8,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,4,4,5,4,4,"How detailed, realistic/abstracted? Maybe each of the 3 shows a different level of realism/abstraction? That would be good to know in this context",NA,NA,NA,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p13,church8,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,2,3,2,4,3,What does the actual cross sign look like? Is that sign identical on these three crosses,I like how the image describes the buildings and that they have the crosses?,I though the image didn't mention how the cross symbol actually look like.,"I would add to the image description, one last sentence, for additional description which may help a person who has never seen or touched a cross before: ""Each cross consists of a horizontally-placed wooden slab intercepted by a vertical one. the body of Jesus is laid on the two slabs.""","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p16,church19,A gothic style Cathedral seen through a courtyard.,1,2,1,2,1,What is a cathedral? What is gothic? Why is the scene gothic? Is there a cross? Where is the cross located? Is someone on the cross? Is Jesus in this photo?,I have nothing to share here.,No mention of a Christian cross here. No mention of Jesus. No mention of if a body is on the cross.,"Everyone may not be Christian, thus a person with blindness who practices another religion, is agnostic, or doesn't practice faith would be completely lost by the image description. Furthermore, a Christian person with blindness (me) will also be confused because the article mentions nothing of a cathedral, thus only people who have worshipped there or are familiar with Catholicism may get confused as well.","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p8,church4,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",5,4,2,5,4,NA,Liked the description of the church made of brick.,NA,Gravestone cemetery reference not useful.,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p9,church19,A gothic style Cathedral seen through a courtyard.,1,1,1,1,1,where is the cross?,n/a,not relevant to a cross,na,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p6,church19,A gothic style Cathedral seen through a courtyard.,5,2,5,3,2,Does the image have a cross in it?,Good descripiton of the yard and area.,Nothing related to a cross so not sure if that is in the image.,NA,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p5,church19,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",2,2,1,3,1,"What does the statue depict?
What are some features of the cathedral?
What are some features of the garden to indicate that it is a garden?
Does the path have directionality?
What are some features of the fountain?",The use of tree lined path  and gothic cathedral are potentially useful pieces of information because it allows for context based on experiential knowledge.,"The objects in the image including garden, fountain, statue, tree-lined path, gothic cathedral don’t entirely provide enough context to the article content without additional description.","Based on the description, the image has multiple objects, however the user isn’t able to focus and drill down for specifics on any of the objects.","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p11,church19,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",4,3,5,5,4,Does the cathedral have any features resembling a cross in its architecture?,It was thorough enough to allow me to imagine myself there.,NA,NA,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p3,church19,A gothic style Cathedral seen through a courtyard.,2,3,4,3,1,What does the cathedral have to do with the cross? Are there examples of crosses anywhere in the photo?,Gothic style,"Gothic style, I don't personally know what that means",NA,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p10,church4,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",5,5,5,5,5,"No additional questions, appreciate the context",I like how the cross is explained in context with the other items included in the image.,"Nothing, appreciate the details.",Definitely seems like this one was written by a human.,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p1,church4,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",2,2,1,2,3,Tell me more about the cross on the church?,NA,Wrong details are being described,"This description should focus more on the cross itself, although the rest of the image is helpful context","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,p15,church4,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",5,5,5,5,5,NA,I like that it gave the placement of the images the picture.,NA,NA,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Competition,p3,soccer_in_progress10,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,4,2,4,3,3,What is shown in the picture to explain why one man fell? Does he look hurt? Do the 2 standing men look like they are trying to help or picking their nose?,"I like how it tells me that 2 of the ""opposing"" team members have stopped and not just 2 people are standing by.",NA,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p4,soccer_in_progress10,A group of men playing soccer as one tries to the kick the ball away from another.,4,3,3,3,3,any other examples of competition portrayed?,nothing,adds little of value,none,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p7,soccer_in_progress13,players celebrating a goal,2,3,5,5,3,what sport,NA,NA,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p11,soccer_in_progress10,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,4,5,5,5,4,noen,It provided interesting details about what was going on in the image.,NA,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p16,soccer_in_progress10,A group of men playing soccer as one tries to the kick the ball away from another.,4,4,5,4,4,Who is competing? What are the teams competing for? What is being done to show competition?,"Using a sports reference to depict competition was great. Using soccer was great because it is an internationally recognized and followed sport, making it multiculturally applicable when trying to introduce a new concept to a person with blindness/low vision.","Though the description is good, without a prize to depict what is being competed for there is really just a picture of people having a fund, laisez-faire game. This description sounds more like an image description for soccer than competition. Perhaps adding the game in a stadium or for a trophy would help this.",Nothing else to add.,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p15,soccer_in_progress10,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,5,3,5,2,5,Are there two groups of men?`,NA,"I'm confused a bit if there are three men trying ot get otthe ball, and then a second group of men where one is on the group. Or if the person  who fell is part of the three getting to the ball.",NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p6,soccer_in_progress10,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,5,5,5,5,4,"Some may wonder about the ages or dress of the men, but this may not be fundamental to the point of this article.",Thorough description overall.,Nothing apparently incorrect. Some may like more description of the men.,"Pretty basic, nothing to ad.","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p12,soccer_in_progress13,A group of soccer players celebrate on the field,2,1,3,3,2,What are they doing to celebrate?,Not too sure.,It is not descriptive enough.,More detailed description.,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p1,soccer_in_progress13,players celebrating a goal,2,2,5,4,3,Tell me more about the positions of the players? What game are they playing and what are they doing?,NA,Lacks detail,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p2,soccer_in_progress13,A group of soccer players celebrate on the field,4,4,4,4,4,They are presumably celebrating a victory? Is someone holding a trophy? Is there a score board reflecting a win? How are they celebrating? Hugging? High fiving? Spraying each other with champagne? Lifting up the star player?,Reasonably useful while still brief.,Just feels incomplete.,Not bad.,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p5,soccer_in_progress10,A group of men playing soccer as one tries to the kick the ball away from another.,5,5,5,5,4,Is it clear whether or not whether anyone has an upper edge in keeping the ball or kicking it way?,The description captures the sentiments of the article title and content.,"There is an extra word “the” which is unclear whether this was a mistake in the generated description text.
It’s unclear whether anyone in the group has an upper hand in the game.","There seems to be a lack of specifics to the description including:
Whether anyone is winning the game
Unclear if there are any teams","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p8,soccer_in_progress13,A group of soccer players celebrate on the field,5,5,5,5,5,NA,NA,NA,Description could be made clearer to the article by stating celebration after a victory or showing points of both teams or describing what the other team is doing if pictured.,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p9,soccer_in_progress10,A group of men playing soccer as one tries to the kick the ball away from another.,3,3,4,3,3,what race/color are the men? Are there two different uniforms?,gender and action,I believe there may be an added the in the discription,n/a,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p14,soccer_in_progress13,A group of soccer players celebrate on the field,4,2,5,3,2,How many players? What are they celebrating? ow are they expressing celebration?,Helpful to know they are soccer players,How can we assume they are celebrating? What signals that?,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p13,soccer_in_progress13,players celebrating a goal,2,1,2,3,1,What are the players exactly doing? What exactly is happening?,I didn't find the description too useful.,The image is not described too well. It is too vague.,NA,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,p10,soccer_in_progress13,players celebrating a goal,3,2,5,4,3,What sport are they celebrating?,"For this one, simpler may be better since the article is not about any particular competition. The image is largely candy to back up the theme of the article.","Not much, since the article has a very generic title and the particulars of the people in the image are not as relevant here.",It's hard for a computer to determine how much info to provide. Perhaps this becomes a slider for users to control at some point.,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Consumer electronics,p13,meeting_in_progress2,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,4,1,1,1,4,"Is the section where the image is talking about computer consumer electronics. This is what the image description is depicting for me. Also, where is the image placed in the article?",I like how the image is broken down into sentences for brevity and clarity.,"I didn't find anything bad about the image description, although I would be curious where the image would be located. Seems like the article would be talking about modern day trends and computer technology?",Keep up the great work.,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p1,meeting_in_progress2,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,4,2,5,2,3,Are the laptops black? Are other consumer electronics pictured?,NA,"The relevance of this photo is less clear, though it does contain laptops which are consumer electronics",Would e helpful if description ties the relevance of the items in the picture to the text.,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p3,meeting_in_progress2,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",5,3,3,4,5,I would be interested to know the coloring of the lap top cases since the intro speaks of black and white goods.,"I like knowing that they are in a board room, 2 tables pushed together, everyone but one person has a laptop. I like knowing they are smiling. How many women and men. It's even kind of nice knowing there is lush green grass outside the window, although I would say that is info we don't need to know  for the image to be accessible.",NA,NA,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p12,meeting_in_progress17,Two men give a presentation.,3,3,3,4,3,What kinds of electronic?,Very simple.,More description would be nice.,No comment.,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p16,meeting_in_progress7,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,2,2,2,2,2,Are these desktop computers or notebooks? What device is on the wall? Are any of these in black boxes? Where are the white goods?,"The description included people and computers, which is ONE black good.","The description did not explain what the screen on the wall is (computer monitor, television, etc.). The image or description makes no mention of white goods or ""The goods that are formerly white,"" in its description.","Inclusion of which goods are depicted is not enough. A better description of the items and how they are being used would also give help to a reader determining what tasks are being performed, which could help determine if it is a black good or white good.","Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p10,meeting_in_progress2,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",4,4,3,3,4,"Are there other consumer electronics in this picture? If not, interesting the image only shows laptops when many examples are given in text.",Like the details including number of people and where they are.,"Some parts of this are a bit wordy. If this is AI, I'd except this over the alternatives as it does give a lot of info. But there are parts that repeat text where a pronoun could be used, and an extra word ""a two board room tables""","Appreciate the details, even if wordy.","Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p14,meeting_in_progress2,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",5,3,4,1,5,What does this have to do with consumer electronics?,"Number of people, perceived gender, scenery around them, what they are doing, facial expression",N/A,NA,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p11,meeting_in_progress7,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,5,5,5,5,4,noen,basic description,The grammar was poor.,NA,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p8,meeting_in_progress2,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,5,1,3,1,1,The image description mentions the setting in an office whereas the paragraph focuses on home electronics. Why was this image selected?,Sets the scene.,It is not applicable or relevant to the article.,NA,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p2,meeting_in_progress17,Two men give a presentation.,3,1,3,1,2,Are they using any items considered “consumer electronics”? Are they presenting about consumer electronics?,Better than no description.,It’s not clear that this image is relevant to the article.,"Again, better than no description, though leaves a lot to be desired.","Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p4,meeting_in_progress7,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,4,3,3,1,1,"What does this have to do with the content of the article? what is on the screen on the wall? are there examples of ""black"" and ""white"" consumer electronics?","Nothing. I see no point to the graphic, so find no value in the description",irrelevance to article,"Not seeing the image, maybe the image is the problem more than thedescription","Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,p7,meeting_in_progress17,Two men give a presentation.,3,5,5,2,1,Where are the electronics,NA,Did not include relevant information,NA,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
