context,anon_worker_id,trial_number,img_id,img_file,description,q_overall.preimg,q_overall.postimg,q_reconstructivity.preimg,q_relevance.preimg,q_relevance.postimg,q_irrelevance.preimg,q_irrelevance.postimg,q_imgfit.preimg,q_imgfit.postimg,article_text
Advertising,228309069979381,4,soccer_in_progress10,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","The image is of three soccer players and a referee. Two teammates in white surround a third player in red that is on the ground complaining of being fouled. The referee, in teal, is behind them, closely observing. In the foreground is a teammate of the fallen player.",5,5,5,1,2,1,2,1,3,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
American cuisine,493086227371514,4,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.",5,4,5,5,4,4,4,3,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,126157794284054,8,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,3,3,5,3,4,2,2,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,358844377133819,18,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",5,5,5,5,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,097070904792403,1,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,3,4,5,3,4,3,4,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,719442648338231,17,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table with a tablecloth with empty place setting and many foods in bowls in the middle.  The table is set with paper napkins, metal utensils, and plastic cups.  The bowls of food are some typical foods of American cuisine.",4,3,4,5,5,2,2,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,592994004694024,11,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",It's a bunch of food from America. It's set up on a table.,4,5,4,4,4,3,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,651127549141184,2,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set in a home and a turkey and wine are on the table.,5,5,5,4,5,1,3,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,903912900384104,5,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",A table is set with dishes and silverware for five.  The food is on the table as well and ready to be served when the people arrive.,3,4,3,3,4,4,4,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,405240467576233,9,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of kitchen workers preparing a large number of plates with food. They are not wearing gloves.,3,1,5,3,1,3,1,5,2,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,910125230079399,9,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,The image is of a commercial kitchen where seven people are plating food. The food is very sparse on each plate. The plates are white and the people are dressed in white shirts with white or dark colored aprons.  It looks like each person is adding their assigned ingredient to the dish.  The people are primarily white males with one Asian female included. I believe the dish is a strip of meat with greens on top.,2,3,3,1,2,1,2,2,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,976092323291853,12,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",3,4,4,3,4,4,5,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,185636463121449,10,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,3,4,5,5,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,426296178465119,14,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set in a home and a turkey and wine are on the table.,3,3,5,3,3,4,4,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,724184272384582,14,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs is preparing a meal,3,5,4,3,5,3,5,4,1,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,111252301713001,3,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",4,5,4,4,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,795328635139432,10,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,5,5,5,5,5,3,3,3,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,616634989061754,4,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.",3,2,3,3,2,4,2,2,2,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,370605382323178,18,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",It's a bunch of food from America. It's set up on a table.,1,1,1,2,2,5,5,1,1,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,416200414007549,12,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",4,4,5,4,4,2,2,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,899419306166434,1,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,5,5,5,5,5,1,5,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,782676814181179,17,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,5,5,5,5,5,3,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,500199108401489,19,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",3,3,4,3,3,4,4,3,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,069937903483971,7,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",4,4,5,4,4,2,3,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,754239006599923,15,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.",2,2,2,3,2,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,643703958131427,1,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",4,4,4,4,5,5,4,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,090352568376232,12,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.",4,4,4,4,4,4,4,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,510766669177053,3,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",It's a bunch of food from America. It's set up on a table.,5,5,5,4,4,2,1,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,917217901628316,15,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",4,2,5,4,2,3,2,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,109393365505621,2,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",3,2,4,4,2,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,045396290546351,15,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A typical American holiday dinner table is shown and the main course is a roasted turkey.,4,4,4,4,4,3,4,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,568864274458914,4,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",5,5,3,3,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,680023035409409,5,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs are preparing many plates of American food in a large kitchen.,5,5,5,5,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,492313284957193,13,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",5,5,5,5,5,5,5,3,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,047009414159458,19,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A turkey that is sitting on a cutting board on a dining room table next to a bottle of wine.,3,4,4,4,4,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,063401792712683,5,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A turkey that is sitting on a cutting board on a dining room table next to a bottle of wine.,5,5,5,4,4,4,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,001847904821114,17,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs are preparing many plates of American food in a large kitchen.,3,3,3,2,3,4,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,828231401005415,19,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.",2,2,3,2,2,3,3,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,049554083183946,6,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Several members of a kitchen staff plating multiple plates of food in a professional kitchen,3,3,2,2,1,3,3,1,1,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,228309069979381,18,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table filled with bowls,plates and glasses. Many different types of food are represented from salads to a pie.",4,4,3,3,3,2,2,3,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,099825784143241,9,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A table and chairs, set with six places, and laid with a green and red plaid tablecoth. There are red solo cups at each place. The table is also set with typical American Thanksgiving foods, including: turkey, mashed potatoes, cranberry sauce, mixed salad, squash, sweet potatoes, devilled eggs, and pumpkin pie.",4,5,5,4,4,2,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,038087780945882,7,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A turkey that is sitting on a cutting board on a dining room table next to a bottle of wine.,5,4,5,5,5,5,3,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,798830461311827,10,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",3,3,5,3,4,3,3,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,537995881681499,18,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",4,4,5,4,4,4,4,3,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,552228145445875,6,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set in a home and a turkey and wine are on the table.,4,4,5,4,4,1,5,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,472334858092631,10,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs is preparing a meal,3,2,5,3,3,4,3,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,419743377096045,2,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.",3,3,3,3,2,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,168989005784368,7,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",The camera looks down on a table groaning with colorful foods arranged in many serving bowls on a bright red plaid tablecloth.,4,5,5,5,5,5,5,4,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,700358255324982,1,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",5,4,4,5,4,4,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,266988203704371,8,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of kitchen workers preparing a large number of plates with food. They are not wearing gloves.,3,3,4,4,4,3,3,3,3,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,544659487901443,3,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,4,5,5,4,4,3,3,4,3,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,912938440902031,4,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Several members of a kitchen staff plating multiple plates of food in a professional kitchen,2,2,5,1,1,5,5,2,1,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,206623017750032,4,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",5,4,4,5,4,1,1,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,386783718178077,4,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,3,3,3,2,3,1,1,2,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,678702441954767,10,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A typical American holiday dinner table is shown and the main course is a roasted turkey.,5,5,5,5,5,5,5,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,160740441081986,14,laid_table12,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",It's a bunch of food from America. It's set up on a table.,1,1,3,1,1,3,3,2,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,906724022365086,8,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"The image depicts a group of people dressed in a chef’s costume, using what would be the main meals of a restaurant as part of the restaurant’s cuisine. Food dishes are a kind of thin, rectangular roasted meat with a green touch on top.",5,5,5,5,5,5,5,4,4,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,987673860468222,3,laid_table14,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,5,5,5,4,5,4,4,5,5,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
American cuisine,075534880597065,17,laid_table3,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of kitchen workers preparing a large number of plates with food. They are not wearing gloves.,3,3,2,2,3,4,4,3,2,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
Body of water,910125230079399,16,mountains16,"Oberaargletscher_from_Oberaar,_2010_07.jpeg",A vast mountain valley with glaciers in the higher altitudes and a lake at the bottom.,3,4,4,4,4,4,4,5,5,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
Body of water,782676814181179,11,mountains18,river.jpeg,A large river flowing across the land,3,3,3,3,2,5,5,5,5,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
