context,description,participant,img_id,q_reconstructivity,q_relevance,q_irrelevance,q_overall,imgstem,article_text
Christian cross,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,p12,church8,2,2,3,3,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",p14,church19,4,2,5,4,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",p5,church19,2,2,1,1,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",p8,church4,5,4,2,4,Dreifaltigkeitskirche_süd,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,A gothic style Cathedral seen through a courtyard.,p9,church19,1,1,1,1,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",p1,church4,2,2,1,3,Dreifaltigkeitskirche_süd,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,p13,church8,2,3,2,3,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,A gothic style Cathedral seen through a courtyard.,p16,church19,1,2,1,1,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",p4,church19,3,3,3,2,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",p11,church19,4,3,5,4,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,A gothic style Cathedral seen through a courtyard.,p3,church19,2,3,4,1,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",p10,church4,5,5,5,5,Dreifaltigkeitskirche_süd,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Christian cross,A gothic style Cathedral seen through a courtyard.,p6,church19,5,2,5,2,1599px-Paris_Notre-Dame_East_View_02,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
Competition,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,p3,soccer_in_progress10,4,2,4,3,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,players celebrating a goal,p13,soccer_in_progress13,2,1,2,1,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,players celebrating a goal,p10,soccer_in_progress13,3,2,5,3,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,players celebrating a goal,p1,soccer_in_progress13,2,2,5,3,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of men playing soccer as one tries to the kick the ball away from another.,p16,soccer_in_progress10,4,4,5,4,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,p15,soccer_in_progress10,5,3,5,5,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of men playing soccer as one tries to the kick the ball away from another.,p4,soccer_in_progress10,4,3,3,3,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of soccer players celebrate on the field,p12,soccer_in_progress13,2,1,3,2,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of soccer players celebrate on the field,p2,soccer_in_progress13,4,4,4,4,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,p6,soccer_in_progress10,5,5,5,4,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,p11,soccer_in_progress10,4,5,5,4,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,players celebrating a goal,p7,soccer_in_progress13,2,3,5,3,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of men playing soccer as one tries to the kick the ball away from another.,p9,soccer_in_progress10,3,3,4,3,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of soccer players celebrate on the field,p8,soccer_in_progress13,5,5,5,5,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of men playing soccer as one tries to the kick the ball away from another.,p5,soccer_in_progress10,5,5,5,4,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competition,A group of soccer players celebrate on the field,p14,soccer_in_progress13,4,2,5,2,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Consumer electronics,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,p8,meeting_in_progress2,5,1,3,1,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,p1,meeting_in_progress2,4,2,5,3,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,p11,meeting_in_progress7,5,5,5,4,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,p9,meeting_in_progress2,3,4,4,3,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,p5,meeting_in_progress7,5,4,3,3,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",p10,meeting_in_progress2,4,4,3,4,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",p14,meeting_in_progress2,5,3,4,5,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,Two men give a presentation.,p2,meeting_in_progress17,3,1,3,2,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,Two men give a presentation.,p7,meeting_in_progress17,3,5,5,1,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",p6,meeting_in_progress2,5,4,4,5,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,Two men give a presentation.,p12,meeting_in_progress17,3,3,3,3,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,p13,meeting_in_progress2,4,1,1,4,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,Two men give a presentation.,p15,meeting_in_progress17,2,3,5,2,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,p4,meeting_in_progress7,4,3,3,1,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",p3,meeting_in_progress2,5,3,3,5,La_Trobe_Uni_Wikimeetup_March_2020,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Consumer electronics,A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,p16,meeting_in_progress7,2,2,2,2,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
Cooperation,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,p8,meeting_in_progress17,5,5,5,5,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,Four men are working together in an office while using computers and white boards.,p7,meeting_in_progress17,4,4,5,4,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of people sit around a conference table in front of laptop computers.,p11,meeting_in_progress7,5,5,5,4,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,Four men are working together in an office while using computers and white boards.,p12,meeting_in_progress17,3,3,3,2,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,It shows a group of humans sitting in a meeting together.,p4,meeting_in_progress7,3,3,3,2,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,It shows a group of humans sitting in a meeting together.,p9,meeting_in_progress7,2,2,2,2,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,p1,meeting_in_progress17,5,5,5,5,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of people sit around a conference table in front of laptop computers.,p5,meeting_in_progress7,5,3,5,3,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,Four men are working together in an office while using computers and white boards.,p15,meeting_in_progress17,5,5,5,3,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of people sit around a conference table in front of laptop computers.,p2,meeting_in_progress7,4,3,3,4,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,p13,meeting_in_progress17,5,4,2,3,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,p10,meeting_in_progress17,4,3,3,3,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
Cooperation,It shows a group of humans sitting in a meeting together.,p16,meeting_in_progress7,4,4,5,4,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3),"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
